"Link","Sigma","Rho","n","Successful_Reps","MLE","SRRE_k1","SKLE_k1","SRRE_k2","SKLE_k2","SRRE_k3","SKLE_k3","SRRE_k4","SKLE_k4","MLE_Med","SRRE_k1_Med","SKLE_k1_Med","SRRE_k2_Med","SKLE_k2_Med","SRRE_k3_Med","SKLE_k3_Med","SRRE_k4_Med","SKLE_k4_Med","Clamp_Rate","Conv_Rate","Mean_k1","Mean_k2","Mean_k3","Mean_k4","K4_Binds","Prov_Hold_k1","Prov_Hold_k2","Eq32_Hold_k1","Eq32_Hold_k2","Eq32_Val_k1","Eq32_Val_k2","Eq32T_Hold_k1","Eq32T_Hold_k2","Eq32T_Val_k1","Eq32T_Val_k2","SignFlip_k1","SignFlip_k2","SignFlip_k3","SignFlip_k4"
"logit",0.5,0.8,25,1000,0.127345773300355,0.0765858042933454,0.142754727216894,0.078291973557001,0.0521946150381219,0.120976338679588,0.114842421592535,0.0777564113841191,0.0489537654428907,0.0889966180291896,0.0455275752203272,0.0456611418744864,0.0527941023448715,0.0328454382418351,0.0850615105707575,0.0814673217555793,0.0524306161581123,0.0321776616450514,0,1,40.0370984443576,6.24816666046236,0.302184628492787,5.5607511023944,0.037,0.609,0.963,0,0,35.6248559284901,15.055886646035,0,0,28.7875526155971,13.513584155843,0.03175,5e-04,0.0035,5e-04
"logit",0.5,0.8,50,1000,0.0527425500137045,0.041380504462403,0.0837417901485205,0.0388943788853405,0.0302878792718598,0.0516102848376366,0.0504947131705156,0.0387796509132876,0.0297831372787484,0.0398254360830408,0.0269708224258661,0.0286572111950022,0.0278875041010119,0.0199081323090913,0.0390422618546496,0.0382622946771284,0.027335945623664,0.019883007824374,0,1,48.4290722251207,8.92527767423571,0.316488280408892,8.6697999286127,0.015,0.74,0.985,0,0,63.3249045431916,20.7585910193357,0,0,58.3873729574219,19.6173741526174,0.011,0,0,0
"logit",0.5,0.8,100,1000,0.0232694218605159,0.0269684774809904,0.0687572444398222,0.01892365992109,0.0163490000190354,0.0230382266020163,0.0228087082766293,0.0188595578414253,0.0160758669648352,0.0182527592890466,0.0151971569797866,0.017198043107621,0.0144896631799818,0.0121024618991239,0.0181083100808672,0.0179526458383138,0.0144325541136682,0.0121024618991239,0,1,91.7867056467164,13.0703763373035,0.325729048573608,12.8419367827783,0.004,0.812,0.996,0,0,110.824320950664,29.51594966485,0,0,107.708062470445,28.9567778757324,0.01125,0,0,0
"logit",0.5,0.8,200,1000,0.0118876583286102,0.0158673353496583,0.0411767410583059,0.0103014603634391,0.00921869135652796,0.011831508338395,0.0117755850566993,0.0103014603634391,0.00921869135652796,0.00913199942776894,0.0093101133869134,0.0111473970433335,0.0076628421695932,0.00689987369284211,0.0090804990379307,0.00903907521997326,0.0076628421695932,0.00689987369284211,0,1,132.085462505722,17.1622260894133,0.3284506523328,17.1622260894133,0,0.871,1,0,0,192.849154789444,42.1355459143321,0,0,191.328475133835,41.4380429299539,0.00375,0,0,0
"logit",0.5,0.9,25,1000,0.259431480714597,0.0937766043686684,0.0976579437974437,0.129410447828271,0.0608985965318153,0.236168129821503,0.214366880845721,0.129664585853287,0.0591479571377198,0.182747212530928,0.05187339561947,0.0394812252412852,0.084139472760653,0.0307059803491189,0.165902317868802,0.149899288305161,0.0843004137297269,0.0285886681668439,0,1,17.3506627869596,4.14280994611546,0.2740297090155,3.67478838374961,0.092,0.52,0.908,0,0,22.3044697028812,11.5744055164617,0,0,14.7864007095344,8.77422696099381,0.01475,0.0015,0.018,0.0015
"logit",0.5,0.9,50,1000,0.114273763911617,0.0512431053763774,0.0564686488832293,0.0704253664093822,0.0423440078376844,0.109216029904155,0.104295630049222,0.0701417085693473,0.040733088026816,0.0899334585893914,0.0304531517586298,0.0189664768616806,0.0508748640754262,0.0259425080052245,0.0861241072592145,0.0818169217876953,0.0503592043047806,0.0249889096300598,0,1,35.7984181438976,6.32621689183944,0.301001742347407,5.66593251773122,0.029,0.655,0.971,0,0,34.4899622175186,14.8256586393471,0,0,28.8038188609551,13.4038494998715,0.00875,0,0.00125,0
"logit",0.5,0.9,100,1000,0.0527062630288,0.0291964153592183,0.0378252732376881,0.0377975154708286,0.0266063354691808,0.051563515387903,0.0504349105674513,0.037783951052135,0.0265472778162595,0.0417595806653519,0.017626677173922,0.0133582013882182,0.0273561478745275,0.0169605875523768,0.0408620750709851,0.0398372513653599,0.0273561478745275,0.0167208868567963,0,1,52.2591264081311,8.74642069239532,0.318997186446986,8.62309544110513,0.007,0.735,0.993,0,0,60.6331693693609,20.7979225610125,0,0,56.5435452858437,19.6772047957161,0.00375,0,0,0
"logit",0.5,0.9,200,1000,0.0257273959774122,0.0202035383343726,0.0375884185603535,0.0203597542745852,0.0161269857279053,0.0254581753932781,0.0251905335085214,0.0203553262966814,0.016107399304222,0.0203891406540958,0.0104043275478423,0.00808091068590861,0.0149922308689685,0.011185404737486,0.020164887687918,0.0199419419773392,0.0149922308689685,0.0111600974111492,0,1,108.628416779084,13.0490476536218,0.323616753989757,12.9677197392616,0.005,0.8,0.995,0,0,105.926928609119,28.6876258589427,0,0,101.514378776752,27.9964805990764,0.00525,0,0,0
"logit",0.5,0.95,25,1000,0.572383585807971,0.161154221525166,0.121353781778605,0.224792887045327,0.0796622380303367,0.494397584281693,0.424272306868492,0.226808007505547,0.0740161688425057,0.411964894061878,0.0777244668443236,0.0542735855625842,0.142238475230795,0.03568387544565,0.349284212772965,0.286383270393174,0.143999079948331,0.0307589703107297,0,1,12.4322265539678,2.86829502125581,0.229199310900047,2.28252707596951,0.186,0.473,0.814,0,0,17.7741958078652,10.4799858280429,0,0,8.0063073113333,5.63810937801185,0.01325,0.0035,0.0595,0.003
"logit",0.5,0.95,50,1000,0.250864336446253,0.085765070807369,0.0579383568807408,0.130195085043734,0.0600863363072857,0.231344851286432,0.21275480942547,0.12996412457329,0.0581170550966638,0.191092091302104,0.0432075253912854,0.0211052725523867,0.0835593515027785,0.0267337463086976,0.174537653069445,0.158164242805952,0.0829587133699661,0.0256337024885855,0,1,23.2605645962596,4.56405423499554,0.270734563672234,3.6881989421384,0.045,0.599,0.955,0,0,22.4208932350727,11.6169959730831,0,0,14.8493223229961,9.05921905564245,0.00625,0.00075,0.014,5e-04
