n,rho,SMLE,SRRE_k1,SKLE_k1,SRRE_k2,SKLE_k2,SRRE_k3,SKLE_k3,SRRE_k4,SKLE_k4
25,0.8,0.4577,0.0832,0.1359,0.2547,0.1419,0.4242,0.3927,0.2553,0.1414
25,0.9,1.0854,0.1482,0.3453,0.4592,0.2167,0.9679,0.8609,0.4692,0.2098
25,0.95,2.1497,0.2682,0.6954,0.7577,0.3512,1.8592,1.6020,0.8041,0.3274
25,0.99,11.5266,1.1123,4.3535,1.8060,2.6375,9.5478,7.8706,3.0895,1.2900
50,0.8,0.1303,0.0321,0.0397,0.0954,0.0688,0.1267,0.1231,0.0954,0.0688
50,0.9,0.2904,0.0518,0.0676,0.1816,0.1081,0.2756,0.2614,0.1816,0.1081
50,0.95,0.6503,0.0963,0.1597,0.3356,0.1582,0.5984,0.5494,0.3362,0.1576
50,0.99,3.3561,0.3645,1.0257,1.0119,0.3668,2.8783,2.4520,1.0691,0.3195
100,0.8,0.0454,0.0153,0.0172,0.0385,0.0324,0.0450,0.0445,0.0385,0.0324
100,0.9,0.1022,0.0211,0.0241,0.0766,0.0560,0.1000,0.0978,0.0766,0.0560
100,0.95,0.2164,0.0347,0.0462,0.1419,0.0882,0.2076,0.1991,0.1419,0.0881
100,0.99,1.1627,0.1485,0.2932,0.5214,0.1995,1.0417,0.9291,0.5230,0.1977
200,0.8,0.0171,0.0076,0.0087,0.0156,0.0143,0.0170,0.0170,0.0156,0.0143
200,0.9,0.0379,0.0102,0.0098,0.0321,0.0270,0.0376,0.0373,0.0321,0.0270
200,0.95,0.0869,0.0178,0.0167,0.0668,0.0502,0.0854,0.0839,0.0668,0.0502
200,0.99,0.4327,0.0654,0.0942,0.2506,0.1313,0.4060,0.3803,0.2506,0.1312
