n,rho,SMLE,SRRE_k1,SKLE_k1,SRRE_k2,SKLE_k2,SRRE_k3,SKLE_k3,SRRE_k4,SKLE_k4
25,0.8,0.9822,0.2155,0.2153,0.6372,0.4243,0.9171,0.8555,0.6381,0.4237
25,0.9,2.2357,0.3106,0.6602,1.0905,0.5998,2.0431,1.8654,1.1046,0.5852
25,0.95,4.5871,0.5847,1.4749,1.8072,0.9336,4.1258,3.7100,1.8824,0.8578
25,0.99,20.2880,2.0230,8.1792,4.2333,4.8235,17.6112,15.3231,6.2820,2.7049
50,0.8,0.4530,0.1975,0.1138,0.3918,0.3387,0.4419,0.4310,0.3918,0.3387
50,0.9,1.0418,0.4275,0.2808,0.8313,0.6682,1.0089,0.9769,0.8314,0.6681
50,0.95,2.0911,0.8225,0.5941,1.5274,1.1496,2.0106,1.9329,1.5291,1.1458
50,0.99,11.0476,3.5302,3.1873,5.7169,3.4499,10.4797,9.9520,5.7975,3.3598
100,0.8,0.2829,0.2237,0.1862,0.2753,0.2680,0.2811,0.2793,0.2753,0.2680
100,0.9,0.5714,0.4354,0.3600,0.5458,0.5221,0.5668,0.5623,0.5458,0.5221
100,0.95,1.2784,0.9130,0.7300,1.1846,1.1020,1.2640,1.2498,1.1846,1.1020
100,0.99,6.8914,4.6630,3.7954,5.8092,5.0027,6.7902,6.6912,5.8113,5.0003
200,0.8,0.3827,0.3641,0.3480,0.3816,0.3805,0.3822,0.3816,0.3816,0.3805
200,0.9,0.8843,0.8338,0.7933,0.8805,0.8767,0.8826,0.8810,0.8805,0.8767
200,0.95,1.8767,1.7564,1.6634,1.8642,1.8519,1.8727,1.8687,1.8642,1.8519
200,0.99,10.2888,9.4965,8.9063,10.1061,9.9347,10.2651,10.2416,10.1061,9.9347
