n,rho,SMLE,SRRE_k1,SKLE_k1,SRRE_k2,SKLE_k2,SRRE_k3,SKLE_k3,SRRE_k4,SKLE_k4
25,0.8,0.6755,0.1203,0.2462,0.2460,0.1066,0.6142,0.5575,0.2565,0.0996
25,0.9,1.6802,0.2230,0.4998,0.4495,0.2295,1.4771,1.2938,0.5239,0.1844
25,0.95,3.3398,0.3752,1.0452,0.6349,0.5463,2.8438,2.4096,0.9128,0.3234
25,0.99,18.9240,1.7681,6.7352,1.1534,7.6000,15.7179,12.9920,4.9671,1.7906
50,0.8,0.2481,0.0589,0.0966,0.1335,0.0657,0.2381,0.2284,0.1337,0.0655
50,0.9,0.5538,0.0921,0.1218,0.2377,0.0834,0.5147,0.4775,0.2388,0.0822
50,0.95,1.2467,0.1824,0.2711,0.4136,0.1141,1.1241,1.0098,0.4238,0.1064
50,0.99,6.5202,0.7186,1.6714,0.8909,1.0074,5.5659,4.7140,1.4376,0.3599
100,0.8,0.1096,0.0355,0.0674,0.0732,0.0464,0.1075,0.1055,0.0732,0.0464
100,0.9,0.2566,0.0523,0.0560,0.1436,0.0700,0.2468,0.2373,0.1436,0.0700
100,0.95,0.5243,0.0882,0.0926,0.2341,0.0790,0.4912,0.4593,0.2346,0.0784
100,0.99,2.8269,0.3715,0.5789,0.6782,0.1633,2.4868,2.1736,0.7185,0.1109
200,0.8,0.0499,0.0238,0.0569,0.0377,0.0277,0.0495,0.0490,0.0377,0.0277
200,0.9,0.1123,0.0263,0.0291,0.0737,0.0448,0.1100,0.1078,0.0737,0.0448
200,0.95,0.2494,0.0456,0.0399,0.1395,0.0663,0.2403,0.2313,0.1395,0.0663
200,0.99,1.3292,0.1963,0.2294,0.4504,0.0851,1.2050,1.0877,0.4531,0.0808
