n,rho,SMLE,SRRE_k1,SKLE_k1,SRRE_k2,SKLE_k2,SRRE_k3,SKLE_k3,SRRE_k4,SKLE_k4
25,0.8,0.9883,0.2102,0.2288,0.6406,0.4271,0.9191,0.8539,0.6413,0.4265
25,0.9,2.2572,0.3610,0.6155,1.1396,0.6358,2.0646,1.8868,1.1503,0.6250
25,0.95,4.1629,0.5609,1.2744,1.7149,0.9366,3.7325,3.3467,1.7853,0.8554
25,0.99,27.7546,3.3577,9.7864,6.4131,6.0150,24.6992,22.0321,8.4146,3.5945
50,0.8,0.4231,0.1929,0.1197,0.3677,0.3200,0.4128,0.4026,0.3677,0.3200
50,0.9,0.9982,0.3964,0.2624,0.7947,0.6404,0.9671,0.9368,0.7949,0.6400
50,0.95,1.9388,0.7371,0.5308,1.3838,1.0100,1.8618,1.7875,1.3849,1.0087
50,0.99,12.6357,4.1059,3.5172,6.6242,3.8993,12.0252,11.4545,6.7120,3.7664
100,0.8,0.3003,0.2311,0.1879,0.2915,0.2831,0.2981,0.2960,0.2915,0.2831
100,0.9,0.6353,0.4804,0.3893,0.6084,0.5832,0.6302,0.6251,0.6084,0.5832
100,0.95,1.2741,0.9443,0.7798,1.1855,1.1078,1.2608,1.2476,1.1855,1.1078
100,0.99,7.3302,5.3001,4.4653,6.2718,5.5055,7.2347,7.1412,6.2747,5.5007
200,0.8,0.3839,0.3651,0.3490,0.3829,0.3819,0.3834,0.3829,0.3829,0.3819
200,0.9,0.8802,0.8260,0.7827,0.8756,0.8711,0.8785,0.8767,0.8756,0.8711
200,0.95,1.6859,1.5678,1.4782,1.6734,1.6612,1.6820,1.6781,1.6734,1.6612
200,0.99,8.5362,7.8398,7.3233,8.3786,8.2302,8.5136,8.4911,8.3786,8.2302
